%1.Title:Laptops
%
%2.Sources:
%	(a)Creator:KrstevFilip
%	(b)Date:June,2016
%	(c)878 instances
%
@RELATION IS


@ATTRIBUTE processor	{i3,i5,i7,Pentium,Celeron,Atom,AMDSemprom,AMDESeries,,Core2Duo,Core2Quad}
@ATTRIBUTE memory		numeric
@ATTRIBUTE screenSize	numeric
@ATTRIBUTE grapics		{Integrated/On-BoardGraphics,DedicatedGraphics}
@ATTRIBUTE operatinS	{Windows10,Windows8,Windows7,WindowsXP,ChromeOS}
@ATTRIBUTE ssd			{Yes,No}
@ATTRIBUTE price		numeric

@DATA
AMDSemprom,4,15.6,Integrated/On-BoardGraphics,Windows7,No,229.99
i7,16,15.6,DedicatedGraphics,Windows8,Yes,959.96
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,255
i7,4 ,12.5,Integrated/On-BoardGraphics,Windows7,Yes,669.95
i5,4,17.3,Integrated/On-BoardGraphics,Windows10,No,452
i5,4 ,14,Integrated/On-BoardGraphics,Windows7,Yes,400
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,299.99
i5,6,15.6,Integrated/On-BoardGraphics,Windows8,No,379.98
Celeron,4,16,Integrated/On-BoardGraphics,Windows10,No,369.99
i5,6,15.6,Integrated/On-BoardGraphics,Windows10,No,429.95
i5,4,17.3,Integrated/On-BoardGraphics,Windows10,No,486
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,274.95
i5,12,15.6,Integrated/On-BoardGraphics,Windows10,No,599.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,299.95
i7,8,15.6,DedicatedGraphics,Windows10,No,843.96
Celeron,4,16,Integrated/On-BoardGraphics,Windows10,No,397.97
i5,8,17.3,DedicatedGraphics,Windows8,No,524.95
i5,4,15.6,Integrated/On-BoardGraphics,Windows8,No,599.99
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,179.99
Celeron,2,15.6,Integrated/On-BoardGraphics,Windows10,No,274.69
i5,16,14.0,Integrated/On-BoardGraphics,Windows8,Yes,469
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,399.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,349.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows7,No,359.97
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,339
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,203.88
AMDSemprom,4,15.6,Integrated/On-BoardGraphics,Windows7,No,299.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows7,No,244.96
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,304.95
Celeron,4 ,15.6,Integrated/On-BoardGraphics,Windows8,No,329.99
Pentium,8,15.6,Integrated/On-BoardGraphics,Windows10,No,349.95
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,249.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,359.99
i7,16,17.3,DedicatedGraphics,Windows10,No,850
i7,8,15.6,DedicatedGraphics,Windows10,No,999.99
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,220
Celeron,4,16,Integrated/On-BoardGraphics,Windows10,No,369.99
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,169.95
i7,8,12,Integrated/On-BoardGraphics,Windows8,Yes,750.99
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,269
i3,6,15.6,Integrated/On-BoardGraphics,Windows8,No,409.95
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,269
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows7,No,269.95
i5,4 ,12.5,Integrated/On-BoardGraphics,Windows8,Yes,539.95
Pentium,4,11.6,Integrated/On-BoardGraphics,Windows10,No,439
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows7,No,280.12
i5,8 ,15.6,Integrated/On-BoardGraphics,Windows8,No,559.99
i5,6,15.6,Integrated/On-BoardGraphics,Windows10,No,539
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows8,No,359.99
i7,12 ,17.3,DedicatedGraphics,Windows8,No,889.95
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows10,No,309.99
i5,4 ,15.6,Integrated/On-BoardGraphics,Windows10,No,719.99
Pentium,4,15.6,Integrated/On-BoardGraphics,Windows10,No,459.95
i7,16,17.3,DedicatedGraphics,Windows8,No,1632.11
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows8,No,379.99
i7,8,15.6,DedicatedGraphics,Windows8,No,699.99
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,169.95
i7,16,12.3,Integrated/On-BoardGraphics,Windows10,Yes,1849.99
Celeron,4,11.6,Integrated/On-BoardGraphics,Windows10,No,319
i5,4,15.6,Integrated/On-BoardGraphics,Windows7,No,797.97
i7,16,14,Integrated/On-BoardGraphics,Windows7,Yes,899
Celeron,2,14,Integrated/On-BoardGraphics,Windows10,No,203.88
i5,4,12.5,Integrated/On-BoardGraphics,Windows7,No,1060
Celeron,4,15.6,Integrated/On-BoardGraphics,Windows10,No,259.99
i5,4,17.3,Integrated/On-BoardGraphics,Windows10,No,769.99
i7,8,15.6,Integrated/On-BoardGraphics,Windows8,No,769.99
Pentium,4 ,11.6,Integrated/On-BoardGraphics,Windows10,No,319.99
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows7,Yes,139
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,199.95
Celeron,2,11.6,Integrated/On-BoardGraphics,Windows10,No,199.99
